Method:,Hadamard 1,,
Host Date-Time:,3/6/25 @ 14:11:58,,
Header Version:,1,,
System Temp (C):,37.5,,
Detector Temp (C):,8.41,,
Humidity (%):,39.86,,
Lamp PD:,837,,
Shift Vector Coefficients:,-4.89164,0.0410715,-8.62071e-05,,
Pixel to Wavelength Coefficients:,1760.03,-0.919718,-0.000239131,,
Serial Number:,B50R020,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,256,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  3.033,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.685534,0.056080,23799.000000,20916.000000
904.266754,0.064806,25364.000000,21848.000000
908.134996,0.065069,27576.000000,23739.000000
911.998935,0.073374,29894.000000,25247.000000
915.858568,0.076704,32724.000000,27426.000000
919.713898,0.085623,36376.000000,29867.000000
922.281726,0.089926,39250.000000,31909.000000
926.129882,0.087388,43914.000000,35910.000000
929.973733,0.088559,48892.000000,39873.000000
933.813280,0.084601,53638.000000,44144.000000
937.648523,0.077076,57841.000000,48435.000000
940.202960,0.072018,60246.000000,51040.000000
944.031029,0.068674,63572.000000,54274.000000
947.854793,0.065017,66765.000000,57482.000000
951.674253,0.063562,69827.000000,60320.000000
955.489408,0.061694,72893.000000,63240.000000
958.030454,0.063293,75036.000000,64860.000000
961.838436,0.061854,78172.000000,67795.000000
965.642113,0.064235,81389.000000,70199.000000
969.441486,0.064985,84727.000000,72952.000000
973.236555,0.065977,88030.000000,75623.000000
975.764209,0.067966,90118.000000,77063.000000
979.552104,0.069725,93087.000000,79280.000000
983.335694,0.069016,95929.000000,81834.000000
987.114980,0.070313,98552.000000,83821.000000
990.889961,0.070463,100835.000000,85733.000000
993.404224,0.070031,102241.000000,87015.000000
997.172032,0.070587,103945.000000,88352.000000
1000.935535,0.070907,105624.000000,89713.000000
1004.694734,0.068912,106844.000000,91167.000000
1008.449629,0.068928,107715.000000,91907.000000
1010.950501,0.069146,108210.000000,92283.000000
1014.698221,0.067880,108759.000000,93022.000000
1018.441638,0.067011,109062.000000,93468.000000
1022.180749,0.067372,109077.000000,93403.000000
1025.915557,0.065577,108933.000000,93666.000000
1028.403037,0.065584,108751.000000,93508.000000
1032.130671,0.065710,108374.000000,93157.000000
